frame,keypoint,mediapipe_error,mmpose_error,yolo_error,normalized_mediapipe_error,normalized_mmpose_error,normalized_yolo_error
maxV_close_frame_18,left_hip_angle,10.133812471800013,23.774474459600015,38.6078148462,0.8444843726500011,1.9812062049666679,3.21731790385
maxV_close_frame_18,left_ankle_angle,44.143559870000004,29.690694153700008,441.4355987,3.678629989166667,2.474224512808334,
maxV_close_frame_19,left_elbow_angle,1440.556555231,144.0556555231,10.21488490530001,,12.004637960258334,0.8512404087750008
maxV_close_frame_19,left_knee_angle,1090.49666784,55.049351092600006,109.04966678400001,,4.587445924383334,9.087472232000001
maxV_close_frame_19,left_shoulder_angle,177.668349818,17.7668349818,7.824408644799998,,1.4805695818166666,0.6520340537333332
maxV_close_frame_19,left_hip_angle,703.4383654019998,10.813875009100002,70.34383654019999,,0.9011562507583335,5.861986378349999
maxV_close_frame_19,left_ankle_angle,725.810678348,72.5810678348,725.810678348,,6.048422319566666,
accel_frame_57,left_elbow_angle,1.4695465782999975,3.7576154145999965,18.9750000354,0.12246221485833313,0.313134617883333,1.58125000295
accel_frame_57,left_shoulder_angle,2.925805210000007,12.73085644759999,70.6296443342,0.24381710083333394,1.060904703966666,5.8858036945166665
accel_frame_57,left_hip_angle,10.942902833900007,5.919031170799997,18.802420851199997,0.9119085694916672,0.4932525975666664,1.5668684042666665
accel_frame_57,right_knee_angle,3.0206163768999943,0.8746621792000013,47.81294796060001,0.2517180314083329,0.07288851493333344,3.984412330050001
accel_frame_57,right_ankle_angle,10.0557848009,9.814738690599995,100.557848009,0.8379820667416666,0.8178948908833329,
accel_frame_59,right_knee_angle,31.293279645,4.115464422500011,49.4172541682,2.6077733037499997,0.3429553685416676,4.118104514016667
accel_frame_59,right_ankle_angle,24.3259737884,14.255983751300008,243.259737884,2.0271644823666666,1.1879986459416674,
accel_frame_61,left_elbow_angle,28.736925804799995,22.2293565314,36.7844896527,2.3947438170666664,1.8524463776166666,3.065374137725
accel_frame_61,left_knee_angle,3.064561894999997,0.3453590208000037,9.394567369100002,0.2553801579166664,0.02877991840000031,0.7828806140916669
accel_frame_61,left_hip_angle,4.056539768100009,3.141538102999988,3.719180861500007,0.3380449806750008,0.26179484191666563,0.30993173845833394
accel_frame_61,left_ankle_angle,19.484861677499993,7.379630665600018,194.84861677499993,1.6237384731249993,0.6149692221333348,
accel_frame_67,left_knee_angle,80.12983758249999,1.165314959400007,47.6714719613,6.677486465208332,0.09710957995000058,3.972622663441667
accel_frame_67,left_ankle_angle,78.99155710459999,18.1491970835,789.915571046,6.582629758716666,1.5124330902916665,
accel_frame_69,left_elbow_angle,17.281900159299994,5.420113616999998,62.62034212,1.4401583466083328,0.45167613474999985,5.218361843333333
accel_frame_69,right_ankle_angle,20.710770090100013,24.77557147760001,247.7557147760001,1.7258975075083345,2.0646309564666674,
